STN#,Elevation,Lon,Lat,
466850,756,121.7812,25.0712,
466880,9.7,121.442,24.9976,
466900,19,121.4489,25.1649,
466910,825.8,121.5297,25.1826,
466920,6.3,121.5149,25.0377,
466930,607.1,121.5445,25.1621,
466940,26.7,121.7405,25.1333,
466950,101.7,122.0797,25.628,
466990,16,121.6133,23.9751,
467050,20.6,121.0475,25.0067,
467060,24.9,121.8574,24.5967,
467080,7.2,121.7565,24.764,
467110,47.9,118.2893,24.4073,
467300,43,119.6675,23.257,
467350,10.7,119.5631,23.5655,
467410,40.8,120.2048,22.9932,
467420,8.1,120.2367,23.0384,
467440,2.3,120.3157,22.566,
467480,26.9,120.4329,23.4959,
467490,84,120.6841,24.1457,
467530,2413.4,120.8132,23.5082,
467540,8.1,120.9038,22.3557,
467550,3844.8,120.9595,23.4876,
467571,26.9,121.0142,24.8279,
467590,22.1,120.7463,22.0039,
467610,33.5,121.3734,23.0975,
467620,324,121.5583,22.037,
467650,1017.5,120.9081,23.8813,
467660,9,121.1546,22.7522,
467770,31.7,120.5234,24.256,
467790,42,120.808,21.9482,
467990,97.8,119.9234,26.1693,
C0A520,48,121.402,24.9749,
C0A530,300,121.7094,24.9382,
C0A540,401,121.7459,24.8928,
C0A550,460,121.8237,24.9712,
C0A560,405,121.5028,24.7762,
C0A570,360,121.598,24.8482,
C0A580,70,121.5463,24.9224,
C0A640,241,121.6629,24.9939,
C0A650,287,121.7429,25.0027,
C0A660,97,121.8011,25.1132,
C0A860,362,121.633,25.1659,
C0A870,685,121.6087,25.1322,
C0A880,6,121.9421,25.0178,
C0A890,40,121.8642,25.036,
C0A920,196,121.5653,25.2638,
C0A931,216,121.5952,25.2332,
C0A940,49,121.644,25.2236,
C0A950,118,121.9234,25.129,
C0A970,96,122.0021,25.0076,
C0A980,54,121.4697,25.1095,
C0A9A0,49,121.5429,25.078,
C0A9B0,7,121.5138,25.1163,
C0A9C0,35,121.5372,25.1175,
C0A9E0,26,121.503,25.0903,
C0A9F0,35,121.5755,25.0794,
C0A9G0,42,121.6029,25.0554,
C0A9I1,18,121.4885,25.0567,
C0AC40,1079,121.5224,25.1757,
C0AC60,55,121.3697,24.939,
C0AC70,71,121.5646,25.0378,
C0AC80,40,121.5757,25.0024,
C0ACA0,25,121.4468,25.0515,
C0AD00,86,121.5019,25.2581,
C0AD10,27,121.4039,25.1502,
C0AD30,20,121.4723,25.0866,
C0AD40,32,121.4452,24.9732,
C0AD50,84,121.3463,24.9515,
C0AG90,25,121.4904,24.9926,
C0AH00,38,121.6588,25.0669,
C0AH10,30,121.5081,25.0113,
C0AH30,755,121.7808,25.0713,
C0AH40,405,121.5771,25.1291,
C0AH50,275,121.3808,25.0722,
C0AH70,34,121.5504,25.0487,
C0AH80,68,121.6283,25.0027,
C0C460,482,121.3523,24.8202,
C0C480,105,121.3232,24.9924,
C0C490,157,121.2833,24.9287,
C0C520,151,121.1853,24.9676,
C0C540,70,121.226,25.0478,
C0C590,29,121.1533,25.0271,
C0C620,19,121.2658,25.0843,
C0C630,209,121.2655,24.8829,
C0C650,208,121.2146,24.8975,
C0C660,176,121.143,24.9124,
C0C670,250,121.2214,24.8701,
C0C680,228,121.3866,25.0285,
C0D360,523,121.2086,24.6783,
C0D390,146,121.1739,24.7982,
C0D430,87,121.0172,24.6905,
C0D480,223,121.1508,24.8497,
